
    Unsigned integers (first 200)
Number     Hex             Bytes           Decoded    Bin
0          01              01              0          00000001
1          02              02              1          00000010
2          0a              0a              2          00001010
3          06              06              3          00000110
4          0e              0e              4          00001110
5          16              16              5          00010110
6          1e              1e              6          00011110
7          04              04              7          00000100
8          24              24              8          00100100
9          44              44              9          01000100
10         64              64              10         01100100
11         84              84              11         10000100
12         a4              a4              12         10100100
13         c4              c4              13         11000100
14         e4              e4              14         11100100
15         0c 00           0c 00           15         00001100 00000000
16         2c 00           2c 00           16         00101100 00000000
17         4c 00           4c 00           17         01001100 00000000
18         6c 00           6c 00           18         01101100 00000000
19         8c 00           8c 00           19         10001100 00000000
20         ac 00           ac 00           20         10101100 00000000
21         cc 00           cc 00           21         11001100 00000000
22         ec 00           ec 00           22         11101100 00000000
23         0c 01           0c 01           23         00001100 00000001
24         2c 01           2c 01           24         00101100 00000001
25         4c 01           4c 01           25         01001100 00000001
26         6c 01           6c 01           26         01101100 00000001
27         8c 01           8c 01           27         10001100 00000001
28         ac 01           ac 01           28         10101100 00000001
29         cc 01           cc 01           29         11001100 00000001
30         ec 01           ec 01           30         11101100 00000001
31         14 00           14 00           31         00010100 00000000
32         34 00           34 00           32         00110100 00000000
33         54 00           54 00           33         01010100 00000000
34         74 00           74 00           34         01110100 00000000
35         94 00           94 00           35         10010100 00000000
36         b4 00           b4 00           36         10110100 00000000
37         d4 00           d4 00           37         11010100 00000000
38         f4 00           f4 00           38         11110100 00000000
39         14 01           14 01           39         00010100 00000001
40         34 01           34 01           40         00110100 00000001
41         54 01           54 01           41         01010100 00000001
42         74 01           74 01           42         01110100 00000001
43         94 01           94 01           43         10010100 00000001
44         b4 01           b4 01           44         10110100 00000001
45         d4 01           d4 01           45         11010100 00000001
46         f4 01           f4 01           46         11110100 00000001
47         14 02           14 02           47         00010100 00000010
48         34 02           34 02           48         00110100 00000010
49         54 02           54 02           49         01010100 00000010
50         74 02           74 02           50         01110100 00000010
51         94 02           94 02           51         10010100 00000010
52         b4 02           b4 02           52         10110100 00000010
53         d4 02           d4 02           53         11010100 00000010
54         f4 02           f4 02           54         11110100 00000010
55         14 03           14 03           55         00010100 00000011
56         34 03           34 03           56         00110100 00000011
57         54 03           54 03           57         01010100 00000011
58         74 03           74 03           58         01110100 00000011
59         94 03           94 03           59         10010100 00000011
60         b4 03           b4 03           60         10110100 00000011
61         d4 03           d4 03           61         11010100 00000011
62         f4 03           f4 03           62         11110100 00000011
63         1c 00           1c 00           63         00011100 00000000
64         3c 00           3c 00           64         00111100 00000000
65         5c 00           5c 00           65         01011100 00000000
66         7c 00           7c 00           66         01111100 00000000
67         9c 00           9c 00           67         10011100 00000000
68         bc 00           bc 00           68         10111100 00000000
69         dc 00           dc 00           69         11011100 00000000
70         fc 00           fc 00           70         11111100 00000000
71         1c 01           1c 01           71         00011100 00000001
72         3c 01           3c 01           72         00111100 00000001
73         5c 01           5c 01           73         01011100 00000001
74         7c 01           7c 01           74         01111100 00000001
75         9c 01           9c 01           75         10011100 00000001
76         bc 01           bc 01           76         10111100 00000001
77         dc 01           dc 01           77         11011100 00000001
78         fc 01           fc 01           78         11111100 00000001
79         1c 02           1c 02           79         00011100 00000010
80         3c 02           3c 02           80         00111100 00000010
81         5c 02           5c 02           81         01011100 00000010
82         7c 02           7c 02           82         01111100 00000010
83         9c 02           9c 02           83         10011100 00000010
84         bc 02           bc 02           84         10111100 00000010
85         dc 02           dc 02           85         11011100 00000010
86         fc 02           fc 02           86         11111100 00000010
87         1c 03           1c 03           87         00011100 00000011
88         3c 03           3c 03           88         00111100 00000011
89         5c 03           5c 03           89         01011100 00000011
90         7c 03           7c 03           90         01111100 00000011
91         9c 03           9c 03           91         10011100 00000011
92         bc 03           bc 03           92         10111100 00000011
93         dc 03           dc 03           93         11011100 00000011
94         fc 03           fc 03           94         11111100 00000011
95         1c 04           1c 04           95         00011100 00000100
96         3c 04           3c 04           96         00111100 00000100
97         5c 04           5c 04           97         01011100 00000100
98         7c 04           7c 04           98         01111100 00000100
99         9c 04           9c 04           99         10011100 00000100
100        bc 04           bc 04           100        10111100 00000100
101        dc 04           dc 04           101        11011100 00000100
102        fc 04           fc 04           102        11111100 00000100
103        1c 05           1c 05           103        00011100 00000101
104        3c 05           3c 05           104        00111100 00000101
105        5c 05           5c 05           105        01011100 00000101
106        7c 05           7c 05           106        01111100 00000101
107        9c 05           9c 05           107        10011100 00000101
108        bc 05           bc 05           108        10111100 00000101
109        dc 05           dc 05           109        11011100 00000101
110        fc 05           fc 05           110        11111100 00000101
111        1c 06           1c 06           111        00011100 00000110
112        3c 06           3c 06           112        00111100 00000110
113        5c 06           5c 06           113        01011100 00000110
114        7c 06           7c 06           114        01111100 00000110
115        9c 06           9c 06           115        10011100 00000110
116        bc 06           bc 06           116        10111100 00000110
117        dc 06           dc 06           117        11011100 00000110
118        fc 06           fc 06           118        11111100 00000110
119        1c 07           1c 07           119        00011100 00000111
120        3c 07           3c 07           120        00111100 00000111
121        5c 07           5c 07           121        01011100 00000111
122        7c 07           7c 07           122        01111100 00000111
123        9c 07           9c 07           123        10011100 00000111
124        bc 07           bc 07           124        10111100 00000111
125        dc 07           dc 07           125        11011100 00000111
126        fc 07           fc 07           126        11111100 00000111
127        08 00           08 00           127        00001000 00000000
128        88 00           88 00           128        10001000 00000000
129        08 01           08 01           129        00001000 00000001
130        88 01           88 01           130        10001000 00000001
131        08 02           08 02           131        00001000 00000010
132        88 02           88 02           132        10001000 00000010
133        08 03           08 03           133        00001000 00000011
134        88 03           88 03           134        10001000 00000011
135        08 04           08 04           135        00001000 00000100
136        88 04           88 04           136        10001000 00000100
137        08 05           08 05           137        00001000 00000101
138        88 05           88 05           138        10001000 00000101
139        08 06           08 06           139        00001000 00000110
140        88 06           88 06           140        10001000 00000110
141        08 07           08 07           141        00001000 00000111
142        88 07           88 07           142        10001000 00000111
143        08 08           08 08           143        00001000 00001000
144        88 08           88 08           144        10001000 00001000
145        08 09           08 09           145        00001000 00001001
146        88 09           88 09           146        10001000 00001001
147        08 0a           08 0a           147        00001000 00001010
148        88 0a           88 0a           148        10001000 00001010
149        08 0b           08 0b           149        00001000 00001011
150        88 0b           88 0b           150        10001000 00001011
151        08 0c           08 0c           151        00001000 00001100
152        88 0c           88 0c           152        10001000 00001100
153        08 0d           08 0d           153        00001000 00001101
154        88 0d           88 0d           154        10001000 00001101
155        08 0e           08 0e           155        00001000 00001110
156        88 0e           88 0e           156        10001000 00001110
157        08 0f           08 0f           157        00001000 00001111
158        88 0f           88 0f           158        10001000 00001111
159        08 10           08 10           159        00001000 00010000
160        88 10           88 10           160        10001000 00010000
161        08 11           08 11           161        00001000 00010001
162        88 11           88 11           162        10001000 00010001
163        08 12           08 12           163        00001000 00010010
164        88 12           88 12           164        10001000 00010010
165        08 13           08 13           165        00001000 00010011
166        88 13           88 13           166        10001000 00010011
167        08 14           08 14           167        00001000 00010100
168        88 14           88 14           168        10001000 00010100
169        08 15           08 15           169        00001000 00010101
170        88 15           88 15           170        10001000 00010101
171        08 16           08 16           171        00001000 00010110
172        88 16           88 16           172        10001000 00010110
173        08 17           08 17           173        00001000 00010111
174        88 17           88 17           174        10001000 00010111
175        08 18           08 18           175        00001000 00011000
176        88 18           88 18           176        10001000 00011000
177        08 19           08 19           177        00001000 00011001
178        88 19           88 19           178        10001000 00011001
179        08 1a           08 1a           179        00001000 00011010
180        88 1a           88 1a           180        10001000 00011010
181        08 1b           08 1b           181        00001000 00011011
182        88 1b           88 1b           182        10001000 00011011
183        08 1c           08 1c           183        00001000 00011100
184        88 1c           88 1c           184        10001000 00011100
185        08 1d           08 1d           185        00001000 00011101
186        88 1d           88 1d           186        10001000 00011101
187        08 1e           08 1e           187        00001000 00011110
188        88 1e           88 1e           188        10001000 00011110
189        08 1f           08 1f           189        00001000 00011111
190        88 1f           88 1f           190        10001000 00011111
191        08 20           08 20           191        00001000 00100000
192        88 20           88 20           192        10001000 00100000
193        08 21           08 21           193        00001000 00100001
194        88 21           88 21           194        10001000 00100001
195        08 22           08 22           195        00001000 00100010
196        88 22           88 22           196        10001000 00100010
197        08 23           08 23           197        00001000 00100011
198        88 23           88 23           198        10001000 00100011
199        08 24           08 24           199        00001000 00100100

    Powers of two boundaries (v=2^k-1)
v                      logical_bits   len(bytes) Bin
0                      1              1          00000001
1                      4              1          00000010
2                      4              1          00001010
3                      5              1          00000110
6                      5              1          00011110
7                      8              1          00000100
14                     8              1          11100100
15                     9              2          00001100 00000000
30                     9              2          11101100 00000001
31                     10             2          00010100 00000000
62                     10             2          11110100 00000011
63                     11             2          00011100 00000000
126                    11             2          11111100 00000111
127                    14             2          00001000 00000000
254                    14             2          10001000 00111111
255                    15             2          00011000 00000000
510                    15             2          10011000 01111111
511                    16             2          00101000 00000000
1022                   16             2          10101000 11111111
1023                   17             3          00111000 00000000 00000000
2046                   17             3          10111000 11111111 00000001
2047                   18             3          01001000 00000000 00000000
4094                   18             3          11001000 11111111 00000011
4095                   19             3          01011000 00000000 00000000
8190                   19             3          11011000 11111111 00000111
8191                   20             3          01101000 00000000 00000000
16382                  20             3          11101000 11111111 00001111
16383                  21             3          01111000 00000000 00000000
32766                  21             3          11111000 11111111 00011111
32767                  24             3          00010000 00000000 00000000
65534                  24             3          00010000 11111110 11111111
65535                  25             4          00110000 00000000 00000000 00000000
131070                 25             4          00110000 11111110 11111111 00000001
131071                 26             4          01010000 00000000 00000000 00000000
262142                 26             4          01010000 11111110 11111111 00000011
262143                 27             4          01110000 00000000 00000000 00000000
524286                 27             4          01110000 11111110 11111111 00000111
524287                 28             4          10010000 00000000 00000000 00000000
1048574                28             4          10010000 11111110 11111111 00001111
1048575                29             4          10110000 00000000 00000000 00000000
2097150                29             4          10110000 11111110 11111111 00011111
2097151                30             4          11010000 00000000 00000000 00000000
4194302                30             4          11010000 11111110 11111111 00111111
4194303                31             4          11110000 00000000 00000000 00000000
8388606                31             4          11110000 11111110 11111111 01111111
8388607                32             4          00010000 00000001 00000000 00000000
16777214               32             4          00010000 11111111 11111111 11111111
16777215               33             5          00110000 00000001 00000000 00000000 00000000
33554430               33             5          00110000 11111111 11111111 11111111 00000001
