
    Unsigned integers (first 200)
Number     Hex             Bytes           Decoded    Bin
0          01              01              0          00000001
1          03              03              1          00000011
2          02              02              2          00000010
3          0a              0a              3          00001010
4          06              06              4          00000110
5          0e              0e              5          00001110
6          16              16              6          00010110
7          1e              1e              7          00011110
8          04              04              8          00000100
9          24              24              9          00100100
10         44              44              10         01000100
11         64              64              11         01100100
12         84              84              12         10000100
13         a4              a4              13         10100100
14         c4              c4              14         11000100
15         e4              e4              15         11100100
16         0c 00           0c 00           16         00001100 00000000
17         2c 00           2c 00           17         00101100 00000000
18         4c 00           4c 00           18         01001100 00000000
19         6c 00           6c 00           19         01101100 00000000
20         8c 00           8c 00           20         10001100 00000000
21         ac 00           ac 00           21         10101100 00000000
22         cc 00           cc 00           22         11001100 00000000
23         ec 00           ec 00           23         11101100 00000000
24         0c 01           0c 01           24         00001100 00000001
25         2c 01           2c 01           25         00101100 00000001
26         4c 01           4c 01           26         01001100 00000001
27         6c 01           6c 01           27         01101100 00000001
28         8c 01           8c 01           28         10001100 00000001
29         ac 01           ac 01           29         10101100 00000001
30         cc 01           cc 01           30         11001100 00000001
31         ec 01           ec 01           31         11101100 00000001
32         14 00           14 00           32         00010100 00000000
33         34 00           34 00           33         00110100 00000000
34         54 00           54 00           34         01010100 00000000
35         74 00           74 00           35         01110100 00000000
36         94 00           94 00           36         10010100 00000000
37         b4 00           b4 00           37         10110100 00000000
38         d4 00           d4 00           38         11010100 00000000
39         f4 00           f4 00           39         11110100 00000000
40         14 01           14 01           40         00010100 00000001
41         34 01           34 01           41         00110100 00000001
42         54 01           54 01           42         01010100 00000001
43         74 01           74 01           43         01110100 00000001
44         94 01           94 01           44         10010100 00000001
45         b4 01           b4 01           45         10110100 00000001
46         d4 01           d4 01           46         11010100 00000001
47         f4 01           f4 01           47         11110100 00000001
48         14 02           14 02           48         00010100 00000010
49         34 02           34 02           49         00110100 00000010
50         54 02           54 02           50         01010100 00000010
51         74 02           74 02           51         01110100 00000010
52         94 02           94 02           52         10010100 00000010
53         b4 02           b4 02           53         10110100 00000010
54         d4 02           d4 02           54         11010100 00000010
55         f4 02           f4 02           55         11110100 00000010
