
    Unsigned integers (first 200)
Number     Hex             Bytes           Decoded    Bin
0          00              00              0          00000000
1          01              01              1          00000001
2          03              03              2          00000011
3          05              05              3          00000101
4          0d              0d              4          00001101
5          15              15              5          00010101
6          1d              1d              6          00011101
7          07              07              7          00000111
8          0f              0f              8          00001111
9          17              17              9          00010111
10         1f              1f              10         00011111
11         27              27              11         00100111
12         2f              2f              12         00101111
13         37              37              13         00110111
14         3f              3f              14         00111111
15         25 00           25 00           15         00100101 00000000
16         65 00           65 00           16         01100101 00000000
17         a5 00           a5 00           17         10100101 00000000
18         e5 00           e5 00           18         11100101 00000000
19         25 01           25 01           19         00100101 00000001
20         65 01           65 01           20         01100101 00000001
21         a5 01           a5 01           21         10100101 00000001
22         e5 01           e5 01           22         11100101 00000001
23         25 02           25 02           23         00100101 00000010
24         65 02           65 02           24         01100101 00000010
25         a5 02           a5 02           25         10100101 00000010
26         e5 02           e5 02           26         11100101 00000010
27         25 03           25 03           27         00100101 00000011
28         65 03           65 03           28         01100101 00000011
29         a5 03           a5 03           29         10100101 00000011
30         e5 03           e5 03           30         11100101 00000011
31         2d 00           2d 00           31         00101101 00000000
32         6d 00           6d 00           32         01101101 00000000
33         ad 00           ad 00           33         10101101 00000000
34         ed 00           ed 00           34         11101101 00000000
35         2d 01           2d 01           35         00101101 00000001
36         6d 01           6d 01           36         01101101 00000001
37         ad 01           ad 01           37         10101101 00000001
38         ed 01           ed 01           38         11101101 00000001
39         2d 02           2d 02           39         00101101 00000010
40         6d 02           6d 02           40         01101101 00000010
41         ad 02           ad 02           41         10101101 00000010
42         ed 02           ed 02           42         11101101 00000010
43         2d 03           2d 03           43         00101101 00000011
44         6d 03           6d 03           44         01101101 00000011
45         ad 03           ad 03           45         10101101 00000011
46         ed 03           ed 03           46         11101101 00000011
47         2d 04           2d 04           47         00101101 00000100
48         6d 04           6d 04           48         01101101 00000100
49         ad 04           ad 04           49         10101101 00000100
50         ed 04           ed 04           50         11101101 00000100
51         2d 05           2d 05           51         00101101 00000101
52         6d 05           6d 05           52         01101101 00000101
53         ad 05           ad 05           53         10101101 00000101
54         ed 05           ed 05           54         11101101 00000101
55         2d 06           2d 06           55         00101101 00000110
56         6d 06           6d 06           56         01101101 00000110
57         ad 06           ad 06           57         10101101 00000110
58         ed 06           ed 06           58         11101101 00000110
59         2d 07           2d 07           59         00101101 00000111
60         6d 07           6d 07           60         01101101 00000111
61         ad 07           ad 07           61         10101101 00000111
62         ed 07           ed 07           62         11101101 00000111
63         35 00           35 00           63         00110101 00000000
64         75 00           75 00           64         01110101 00000000
65         b5 00           b5 00           65         10110101 00000000
66         f5 00           f5 00           66         11110101 00000000
67         35 01           35 01           67         00110101 00000001
68         75 01           75 01           68         01110101 00000001
69         b5 01           b5 01           69         10110101 00000001
70         f5 01           f5 01           70         11110101 00000001
71         35 02           35 02           71         00110101 00000010
72         75 02           75 02           72         01110101 00000010
73         b5 02           b5 02           73         10110101 00000010
74         f5 02           f5 02           74         11110101 00000010
75         35 03           35 03           75         00110101 00000011
76         75 03           75 03           76         01110101 00000011
77         b5 03           b5 03           77         10110101 00000011
78         f5 03           f5 03           78         11110101 00000011
79         35 04           35 04           79         00110101 00000100
80         75 04           75 04           80         01110101 00000100
81         b5 04           b5 04           81         10110101 00000100
82         f5 04           f5 04           82         11110101 00000100
83         35 05           35 05           83         00110101 00000101
84         75 05           75 05           84         01110101 00000101
85         b5 05           b5 05           85         10110101 00000101
86         f5 05           f5 05           86         11110101 00000101
87         35 06           35 06           87         00110101 00000110
88         75 06           75 06           88         01110101 00000110
89         b5 06           b5 06           89         10110101 00000110
90         f5 06           f5 06           90         11110101 00000110
91         35 07           35 07           91         00110101 00000111
92         75 07           75 07           92         01110101 00000111
93         b5 07           b5 07           93         10110101 00000111
94         f5 07           f5 07           94         11110101 00000111
95         35 08           35 08           95         00110101 00001000
96         75 08           75 08           96         01110101 00001000
97         b5 08           b5 08           97         10110101 00001000
98         f5 08           f5 08           98         11110101 00001000
99         35 09           35 09           99         00110101 00001001
100        75 09           75 09           100        01110101 00001001
101        b5 09           b5 09           101        10110101 00001001
102        f5 09           f5 09           102        11110101 00001001
103        35 0a           35 0a           103        00110101 00001010
104        75 0a           75 0a           104        01110101 00001010
105        b5 0a           b5 0a           105        10110101 00001010
106        f5 0a           f5 0a           106        11110101 00001010
107        35 0b           35 0b           107        00110101 00001011
108        75 0b           75 0b           108        01110101 00001011
109        b5 0b           b5 0b           109        10110101 00001011
110        f5 0b           f5 0b           110        11110101 00001011
111        35 0c           35 0c           111        00110101 00001100
112        75 0c           75 0c           112        01110101 00001100
113        b5 0c           b5 0c           113        10110101 00001100
114        f5 0c           f5 0c           114        11110101 00001100
115        35 0d           35 0d           115        00110101 00001101
116        75 0d           75 0d           116        01110101 00001101
117        b5 0d           b5 0d           117        10110101 00001101
118        f5 0d           f5 0d           118        11110101 00001101
119        35 0e           35 0e           119        00110101 00001110
120        75 0e           75 0e           120        01110101 00001110
121        b5 0e           b5 0e           121        10110101 00001110
122        f5 0e           f5 0e           122        11110101 00001110
123        35 0f           35 0f           123        00110101 00001111
124        75 0f           75 0f           124        01110101 00001111
125        b5 0f           b5 0f           125        10110101 00001111
126        f5 0f           f5 0f           126        11110101 00001111
127        3d 00           3d 00           127        00111101 00000000
128        7d 00           7d 00           128        01111101 00000000
129        bd 00           bd 00           129        10111101 00000000
130        fd 00           fd 00           130        11111101 00000000
131        3d 01           3d 01           131        00111101 00000001
132        7d 01           7d 01           132        01111101 00000001
133        bd 01           bd 01           133        10111101 00000001
134        fd 01           fd 01           134        11111101 00000001
