
    Unsigned integers
Number     Hex                  Bin                             Decoded Value       
0          00                   00000000                        0                   
1          01                   00000001                        1                   
2          02                   00000010                        2                   
3          03                   00000011                        3                   
4          04                   00000100                        4                   
5          05                   00000101                        5                   
6          06                   00000110                        6                   
7          07                   00000111                        7                   
8          08                   00001000                        8                   
9          09                   00001001                        9                   
10         0a                   00001010                        10                  
11         0b                   00001011                        11                  
12         0c                   00001100                        12                  
13         0d                   00001101                        13                  
14         0e                   00001110                        14                  
15         0f                   00001111                        15                  
16         18                   00011000                        16                  
17         19                   00011001                        17                  
18         1a                   00011010                        18                  
19         1b                   00011011                        19                  
20         1c                   00011100                        20                  
21         1d                   00011101                        21                  
22         1e                   00011110                        22                  
23         1f                   00011111                        23                  
24         28                   00101000                        24                  
25         29                   00101001                        25                  
26         2a                   00101010                        26                  
27         2b                   00101011                        27                  
28         2c                   00101100                        28                  
29         2d                   00101101                        29                  
30         2e                   00101110                        30                  
31         2f                   00101111                        31                  
32         38                   00111000                        32                  
33         39                   00111001                        33                  
34         3a                   00111010                        34                  
35         3b                   00111011                        35                  
36         3c                   00111100                        36                  
37         3d                   00111101                        37                  
38         3e                   00111110                        38                  
39         3f                   00111111                        39                  
40         48                   01001000                        40                  
41         49                   01001001                        41                  
42         4a                   01001010                        42                  
43         4b                   01001011                        43                  
44         4c                   01001100                        44                  
45         4d                   01001101                        45                  
46         4e                   01001110                        46                  
47         4f                   01001111                        47                  
48         58                   01011000                        48                  
49         59                   01011001                        49                  
50         5a                   01011010                        50                  
51         5b                   01011011                        51                  
52         5c                   01011100                        52                  
53         5d                   01011101                        53                  
54         5e                   01011110                        54                  
55         5f                   01011111                        55                  
56         68                   01101000                        56                  
57         69                   01101001                        57                  
58         6a                   01101010                        58                  
59         6b                   01101011                        59                  
60         6c                   01101100                        60                  
61         6d                   01101101                        61                  
62         6e                   01101110                        62                  
63         6f                   01101111                        63                  
64         78                   01111000                        64                  
65         79                   01111001                        65                  
66         7a                   01111010                        66                  
67         7b                   01111011                        67                  
68         7c                   01111100                        68                  
69         7d                   01111101                        69                  
70         7e                   01111110                        70                  
71         7f                   01111111                        71                  
72         88 00                10001000 00000000               72                  
73         89 00                10001001 00000000               73                  
74         8a 00                10001010 00000000               74                  
75         8b 00                10001011 00000000               75                  
76         8c 00                10001100 00000000               76                  
77         8d 00                10001101 00000000               77                  
78         8e 00                10001110 00000000               78                  
79         8f 00                10001111 00000000               79                  
80         98 00                10011000 00000000               80                  
81         99 00                10011001 00000000               81                  
82         9a 00                10011010 00000000               82                  
83         9b 00                10011011 00000000               83                  
84         9c 00                10011100 00000000               84                  
85         9d 00                10011101 00000000               85                  
86         9e 00                10011110 00000000               86                  
87         9f 00                10011111 00000000               87                  
88         a8 00                10101000 00000000               88                  
89         a9 00                10101001 00000000               89                  
90         aa 00                10101010 00000000               90                  
91         ab 00                10101011 00000000               91                  
92         ac 00                10101100 00000000               92                  
93         ad 00                10101101 00000000               93                  
94         ae 00                10101110 00000000               94                  
95         af 00                10101111 00000000               95                  
96         b8 00                10111000 00000000               96                  
97         b9 00                10111001 00000000               97                  
98         ba 00                10111010 00000000               98                  
99         bb 00                10111011 00000000               99                  
100        bc 00                10111100 00000000               100                 
101        bd 00                10111101 00000000               101                 
102        be 00                10111110 00000000               102                 
103        bf 00                10111111 00000000               103                 
104        c8 00                11001000 00000000               104                 
105        c9 00                11001001 00000000               105                 
106        ca 00                11001010 00000000               106                 
107        cb 00                11001011 00000000               107                 
108        cc 00                11001100 00000000               108                 
109        cd 00                11001101 00000000               109                 
110        ce 00                11001110 00000000               110                 
111        cf 00                11001111 00000000               111                 
112        d8 00                11011000 00000000               112                 
113        d9 00                11011001 00000000               113                 
114        da 00                11011010 00000000               114                 
115        db 00                11011011 00000000               115                 
116        dc 00                11011100 00000000               116                 
117        dd 00                11011101 00000000               117                 
118        de 00                11011110 00000000               118                 
119        df 00                11011111 00000000               119                 
120        e8 00                11101000 00000000               120                 
121        e9 00                11101001 00000000               121                 
122        ea 00                11101010 00000000               122                 
123        eb 00                11101011 00000000               123                 
124        ec 00                11101100 00000000               124                 
125        ed 00                11101101 00000000               125                 
126        ee 00                11101110 00000000               126                 
127        ef 00                11101111 00000000               127                 
128        f8 00                11111000 00000000               128                 
129        f9 00                11111001 00000000               129                 
130        fa 00                11111010 00000000               130                 
131        fb 00                11111011 00000000               131                 
132        fc 00                11111100 00000000               132                 
133        fd 00                11111101 00000000               133                 
134        fe 00                11111110 00000000               134                 
135        ff 00                11111111 00000000               135                 
136        88 01                10001000 00000001               136                 
137        89 01                10001001 00000001               137                 
138        8a 01                10001010 00000001               138                 
139        8b 01                10001011 00000001               139                 
140        8c 01                10001100 00000001               140                 
141        8d 01                10001101 00000001               141                 
142        8e 01                10001110 00000001               142                 
143        8f 01                10001111 00000001               143                 
144        98 01                10011000 00000001               144                 
145        99 01                10011001 00000001               145                 
146        9a 01                10011010 00000001               146                 
147        9b 01                10011011 00000001               147                 
148        9c 01                10011100 00000001               148                 
149        9d 01                10011101 00000001               149                 
150        9e 01                10011110 00000001               150                 
151        9f 01                10011111 00000001               151                 
152        a8 01                10101000 00000001               152                 
153        a9 01                10101001 00000001               153                 
154        aa 01                10101010 00000001               154                 
155        ab 01                10101011 00000001               155                 
156        ac 01                10101100 00000001               156                 
157        ad 01                10101101 00000001               157                 
158        ae 01                10101110 00000001               158                 
159        af 01                10101111 00000001               159                 
160        b8 01                10111000 00000001               160                 
161        b9 01                10111001 00000001               161                 
162        ba 01                10111010 00000001               162                 
163        bb 01                10111011 00000001               163                 
164        bc 01                10111100 00000001               164                 
165        bd 01                10111101 00000001               165                 
166        be 01                10111110 00000001               166                 
167        bf 01                10111111 00000001               167                 
168        c8 01                11001000 00000001               168                 
169        c9 01                11001001 00000001               169                 
170        ca 01                11001010 00000001               170                 
171        cb 01                11001011 00000001               171                 
172        cc 01                11001100 00000001               172                 
173        cd 01                11001101 00000001               173                 
174        ce 01                11001110 00000001               174                 
175        cf 01                11001111 00000001               175                 
176        d8 01                11011000 00000001               176                 
177        d9 01                11011001 00000001               177                 
178        da 01                11011010 00000001               178                 
179        db 01                11011011 00000001               179                 
180        dc 01                11011100 00000001               180                 
181        dd 01                11011101 00000001               181                 
182        de 01                11011110 00000001               182                 
183        df 01                11011111 00000001               183                 
184        e8 01                11101000 00000001               184                 
185        e9 01                11101001 00000001               185                 
186        ea 01                11101010 00000001               186                 
187        eb 01                11101011 00000001               187                 
188        ec 01                11101100 00000001               188                 
189        ed 01                11101101 00000001               189                 
190        ee 01                11101110 00000001               190                 
191        ef 01                11101111 00000001               191                 
192        f8 01                11111000 00000001               192                 
193        f9 01                11111001 00000001               193                 
194        fa 01                11111010 00000001               194                 
195        fb 01                11111011 00000001               195                 
196        fc 01                11111100 00000001               196                 
197        fd 01                11111101 00000001               197                 
198        fe 01                11111110 00000001               198                 
199        ff 01                11111111 00000001               199                 
200        88 02                10001000 00000010               200                 
208        98 02                10011000 00000010               208                 
221        ad 02                10101101 00000010               221                 
253        ed 02                11101101 00000010               253                 
328        88 04                10001000 00000100               328                 
498        da 06                11011010 00000110               498                 
882        da 0c                11011010 00001100               882                 
1736       88 2a                10001000 00101010               1736                
3613       ad 5f                10101101 01011111               3613                
7709       ad df 00             10101101 11011111 00000000      7709                
16584      88 fa 02             10001000 11111010 00000010      16584               
35698      da cc 07             11011010 11001100 00000111      35698               
76658      da cc 19             11011010 11001100 00011001      76658               
164040     88 fa 3e             10001000 11111010 00111110      164040              
349725     ad 9f 9c 00          10101101 10011111 10011100 00000000  349725              
742941     ad 9f dc 01          10101101 10011111 11011100 00000001  742941              
1573064    88 fa ee 04          10001000 11111010 11101110 00000100  1573064             
3320690    da cc c9 0b          11011010 11001100 11001001 00001011  3320690             
6990706    da cc c9 29          11011010 11001100 11001001 00101001  6990706             
14680264   88 fa ee 5e          10001000 11111010 11101110 01011110  14680264            
30758429   ad 9f 9c dc 00       10101101 10011111 10011100 11011100 00000000  30758429            
64312861   ad 9f 9c dc 02       10101101 10011111 10011100 11011100 00000010  64312861            
134217928  88 fa ee ee 06       10001000 11111010 11101110 11101110 00000110  134217928           
279620466  da cc c9 c9 0f       11011010 11001100 11001001 11001001 00001111  279620466           
581610354  da cc c9 c9 39       11011010 11001100 11001001 11001001 00111001  581610354           
1207959752 88 fa ee ee 7e       10001000 11111010 11101110 11101110 01111110  1207959752          
2505397789 ad 9f 9c 9c 9c 01    10101101 10011111 10011100 10011100 10011100 00000001  2505397789          
5189752349 ad 9f 9c 9c dc 03    10101101 10011111 10011100 10011100 11011100 00000011  5189752349          

    Signed integers
Number     Hex                  Bin                  Decoded Value       
-100       ff 01                11111111 00000001    -100                
-99        fd 01                11111101 00000001    -99                 
-98        fb 01                11111011 00000001    -98                 
-97        f9 01                11111001 00000001    -97                 
-96        ef 01                11101111 00000001    -96                 
-95        ed 01                11101101 00000001    -95                 
-94        eb 01                11101011 00000001    -94                 
-93        e9 01                11101001 00000001    -93                 
-92        df 01                11011111 00000001    -92                 
-91        dd 01                11011101 00000001    -91                 
-90        db 01                11011011 00000001    -90                 
-89        d9 01                11011001 00000001    -89                 
-88        cf 01                11001111 00000001    -88                 
-87        cd 01                11001101 00000001    -87                 
-86        cb 01                11001011 00000001    -86                 
-85        c9 01                11001001 00000001    -85                 
-84        bf 01                10111111 00000001    -84                 
-83        bd 01                10111101 00000001    -83                 
-82        bb 01                10111011 00000001    -82                 
-81        b9 01                10111001 00000001    -81                 
-80        af 01                10101111 00000001    -80                 
-79        ad 01                10101101 00000001    -79                 
-78        ab 01                10101011 00000001    -78                 
-77        a9 01                10101001 00000001    -77                 
-76        9f 01                10011111 00000001    -76                 
-75        9d 01                10011101 00000001    -75                 
-74        9b 01                10011011 00000001    -74                 
-73        99 01                10011001 00000001    -73                 
-72        8f 01                10001111 00000001    -72                 
-71        8d 01                10001101 00000001    -71                 
