
    Unsigned integers
Number     Hex                  Bin                             Decoded Value       
0          00                   00000000                        0                   
10         0a                   00001010                        10                  
20         14                   00010100                        20                  
30         1e                   00011110                        30                  
40         28                   00101000                        40                  
50         32                   00110010                        50                  
60         3c                   00111100                        60                  
70         46                   01000110                        70                  
80         50                   01010000                        80                  
90         5a                   01011010                        90                  
100        64                   01100100                        100                 
110        6e                   01101110                        110                 
120        78                   01111000                        120                 
130        82 01                10000010 00000001               130                 
140        8c 01                10001100 00000001               140                 
150        96 01                10010110 00000001               150                 
160        a0 01                10100000 00000001               160                 
170        aa 01                10101010 00000001               170                 
180        b4 01                10110100 00000001               180                 
190        be 01                10111110 00000001               190                 
200        c8 01                11001000 00000001               200                 
210        d2 01                11010010 00000001               210                 
220        dc 01                11011100 00000001               220                 
230        e6 01                11100110 00000001               230                 
240        f0 01                11110000 00000001               240                 
250        fa 01                11111010 00000001               250                 
260        84 02                10000100 00000010               260                 
270        8e 02                10001110 00000010               270                 
280        98 02                10011000 00000010               280                 
290        a2 02                10100010 00000010               290                 
300        ac 02                10101100 00000010               300                 
310        b6 02                10110110 00000010               310                 
320        c0 02                11000000 00000010               320                 
330        ca 02                11001010 00000010               330                 
340        d4 02                11010100 00000010               340                 
350        de 02                11011110 00000010               350                 
360        e8 02                11101000 00000010               360                 
370        f2 02                11110010 00000010               370                 
380        fc 02                11111100 00000010               380                 
390        86 03                10000110 00000011               390                 
400        90 03                10010000 00000011               400                 
410        9a 03                10011010 00000011               410                 
420        a4 03                10100100 00000011               420                 
430        ae 03                10101110 00000011               430                 
440        b8 03                10111000 00000011               440                 
450        c2 03                11000010 00000011               450                 
460        cc 03                11001100 00000011               460                 
470        d6 03                11010110 00000011               470                 
480        e0 03                11100000 00000011               480                 
490        ea 03                11101010 00000011               490                 
500        f4 03                11110100 00000011               500                 
510        fe 03                11111110 00000011               510                 
520        88 04                10001000 00000100               520                 
530        92 04                10010010 00000100               530                 
540        9c 04                10011100 00000100               540                 
550        a6 04                10100110 00000100               550                 
560        b0 04                10110000 00000100               560                 
570        ba 04                10111010 00000100               570                 
580        c4 04                11000100 00000100               580                 
590        ce 04                11001110 00000100               590                 
600        d8 04                11011000 00000100               600                 
610        e2 04                11100010 00000100               610                 
620        ec 04                11101100 00000100               620                 
630        f6 04                11110110 00000100               630                 
640        80 05                10000000 00000101               640                 
650        8a 05                10001010 00000101               650                 
660        94 05                10010100 00000101               660                 
670        9e 05                10011110 00000101               670                 
680        a8 05                10101000 00000101               680                 
690        b2 05                10110010 00000101               690                 
700        bc 05                10111100 00000101               700                 
710        c6 05                11000110 00000101               710                 
720        d0 05                11010000 00000101               720                 
730        da 05                11011010 00000101               730                 
740        e4 05                11100100 00000101               740                 
750        ee 05                11101110 00000101               750                 
760        f8 05                11111000 00000101               760                 
770        82 06                10000010 00000110               770                 
780        8c 06                10001100 00000110               780                 
790        96 06                10010110 00000110               790                 
800        a0 06                10100000 00000110               800                 
810        aa 06                10101010 00000110               810                 
820        b4 06                10110100 00000110               820                 
830        be 06                10111110 00000110               830                 
840        c8 06                11001000 00000110               840                 
850        d2 06                11010010 00000110               850                 
860        dc 06                11011100 00000110               860                 
870        e6 06                11100110 00000110               870                 
880        f0 06                11110000 00000110               880                 
890        fa 06                11111010 00000110               890                 
900        84 07                10000100 00000111               900                 
910        8e 07                10001110 00000111               910                 
920        98 07                10011000 00000111               920                 
930        a2 07                10100010 00000111               930                 
940        ac 07                10101100 00000111               940                 
950        b6 07                10110110 00000111               950                 
960        c0 07                11000000 00000111               960                 
970        ca 07                11001010 00000111               970                 
980        d4 07                11010100 00000111               980                 
990        de 07                11011110 00000111               990                 
1000       e8 07                11101000 00000111               1000                
1010       f2 07                11110010 00000111               1010                
1020       fc 07                11111100 00000111               1020                
1030       86 08                10000110 00001000               1030                
1040       90 08                10010000 00001000               1040                
1050       9a 08                10011010 00001000               1050                
1060       a4 08                10100100 00001000               1060                
1070       ae 08                10101110 00001000               1070                
1080       b8 08                10111000 00001000               1080                
1090       c2 08                11000010 00001000               1090                
1100       cc 08                11001100 00001000               1100                
1110       d6 08                11010110 00001000               1110                
1120       e0 08                11100000 00001000               1120                
1130       ea 08                11101010 00001000               1130                
1140       f4 08                11110100 00001000               1140                
1150       fe 08                11111110 00001000               1150                
1160       88 09                10001000 00001001               1160                
1170       92 09                10010010 00001001               1170                
1180       9c 09                10011100 00001001               1180                
1190       a6 09                10100110 00001001               1190                
1200       b0 09                10110000 00001001               1200                
1210       ba 09                10111010 00001001               1210                
1220       c4 09                11000100 00001001               1220                
1230       ce 09                11001110 00001001               1230                
1240       d8 09                11011000 00001001               1240                
1250       e2 09                11100010 00001001               1250                
1260       ec 09                11101100 00001001               1260                
1270       f6 09                11110110 00001001               1270                
1280       80 0a                10000000 00001010               1280                
1290       8a 0a                10001010 00001010               1290                
1300       94 0a                10010100 00001010               1300                
1310       9e 0a                10011110 00001010               1310                
1320       a8 0a                10101000 00001010               1320                
1330       b2 0a                10110010 00001010               1330                
1340       bc 0a                10111100 00001010               1340                
1350       c6 0a                11000110 00001010               1350                
1360       d0 0a                11010000 00001010               1360                
1370       da 0a                11011010 00001010               1370                
1380       e4 0a                11100100 00001010               1380                
1390       ee 0a                11101110 00001010               1390                
1400       f8 0a                11111000 00001010               1400                
1410       82 0b                10000010 00001011               1410                
1420       8c 0b                10001100 00001011               1420                
1430       96 0b                10010110 00001011               1430                
1440       a0 0b                10100000 00001011               1440                
1450       aa 0b                10101010 00001011               1450                
1460       b4 0b                10110100 00001011               1460                
1470       be 0b                10111110 00001011               1470                
1480       c8 0b                11001000 00001011               1480                
1490       d2 0b                11010010 00001011               1490                
1500       dc 0b                11011100 00001011               1500                
1510       e6 0b                11100110 00001011               1510                
1520       f0 0b                11110000 00001011               1520                
1530       fa 0b                11111010 00001011               1530                
1540       84 0c                10000100 00001100               1540                
1550       8e 0c                10001110 00001100               1550                
1560       98 0c                10011000 00001100               1560                
1570       a2 0c                10100010 00001100               1570                
1580       ac 0c                10101100 00001100               1580                
1590       b6 0c                10110110 00001100               1590                
1600       c0 0c                11000000 00001100               1600                
1610       ca 0c                11001010 00001100               1610                
1620       d4 0c                11010100 00001100               1620                
1630       de 0c                11011110 00001100               1630                
1640       e8 0c                11101000 00001100               1640                
1650       f2 0c                11110010 00001100               1650                
1660       fc 0c                11111100 00001100               1660                
1670       86 0d                10000110 00001101               1670                
1680       90 0d                10010000 00001101               1680                
1690       9a 0d                10011010 00001101               1690                
1700       a4 0d                10100100 00001101               1700                
1710       ae 0d                10101110 00001101               1710                
1720       b8 0d                10111000 00001101               1720                
1730       c2 0d                11000010 00001101               1730                
1740       cc 0d                11001100 00001101               1740                
1750       d6 0d                11010110 00001101               1750                
1760       e0 0d                11100000 00001101               1760                
1770       ea 0d                11101010 00001101               1770                
1780       f4 0d                11110100 00001101               1780                
1790       fe 0d                11111110 00001101               1790                
1800       88 0e                10001000 00001110               1800                
1810       92 0e                10010010 00001110               1810                
1820       9c 0e                10011100 00001110               1820                
1830       a6 0e                10100110 00001110               1830                
1840       b0 0e                10110000 00001110               1840                
1850       ba 0e                10111010 00001110               1850                
1860       c4 0e                11000100 00001110               1860                
1870       ce 0e                11001110 00001110               1870                
1880       d8 0e                11011000 00001110               1880                
1890       e2 0e                11100010 00001110               1890                
1900       ec 0e                11101100 00001110               1900                
1910       f6 0e                11110110 00001110               1910                
1920       80 0f                10000000 00001111               1920                
1930       8a 0f                10001010 00001111               1930                
1940       94 0f                10010100 00001111               1940                
1950       9e 0f                10011110 00001111               1950                
1960       a8 0f                10101000 00001111               1960                
1970       b2 0f                10110010 00001111               1970                
1980       bc 0f                10111100 00001111               1980                
1990       c6 0f                11000110 00001111               1990                
2000       d0 0f                11010000 00001111               2000                
2080       a0 10                10100000 00010000               2080                
2210       a2 11                10100010 00010001               2210                
2530       e2 13                11100010 00010011               2530                
3280       d0 19                11010000 00011001               3280                
4980       f4 26                11110100 00100110               4980                
8820       f4 44                11110100 01000100               8820                
17360      d0 87 01             11010000 10000111 00000001      17360               
36130      a2 9a 02             10100010 10011010 00000010      36130               
77090      a2 da 04             10100010 11011010 00000100      77090               
165840     d0 8f 0a             11010000 10001111 00001010      165840              
356980     f4 e4 15             11110100 11100100 00010101      356980              
766580     f4 e4 2e             11110100 11100100 00101110      766580              
1640400    d0 8f 64             11010000 10001111 01100100      1640400             
3497250    a2 ba d5 01          10100010 10111010 11010101 00000001  3497250             
7429410    a2 ba c5 03          10100010 10111010 11000101 00000011  7429410             
15730640   d0 8f c0 07          11010000 10001111 11000000 00000111  15730640            
33206900   f4 e4 ea 0f          11110100 11100100 11101010 00001111  33206900            
69907060   f4 e4 aa 21          11110100 11100100 10101010 00100001  69907060            
146802640  d0 8f 80 46          11010000 10001111 10000000 01000110  146802640           
307584290  a2 ba d5 92 01       10100010 10111010 11010101 10010010 00000001  307584290           
643128610  a2 ba d5 b2 02       10100010 10111010 11010101 10110010 00000010  643128610           
1342179280 d0 8f 80 80 05       11010000 10001111 10000000 10000000 00000101  1342179280          
2796204660 f4 e4 aa b5 0a       11110100 11100100 10101010 10110101 00001010  2796204660          
5816103540 f4 e4 aa d5 15       11110100 11100100 10101010 11010101 00010101  5816103540          
12079597520 d0 8f 80 80 2d       11010000 10001111 10000000 10000000 00101101  12079597520         
25053977890 a2 ba d5 aa 5d       10100010 10111010 11010101 10101010 01011101  25053977890         
51897523490 a2 ba d5 aa c1 01    10100010 10111010 11010101 10101010 11000001 00000001  51897523490         

    Signed integers
Number     Hex                  Bin                  Decoded Value       
