
    Unsigned integers
Number     Hex                  Bin                             Decoded Value       
0          80                   10000000                        0                   
10         8a                   10001010                        10                  
20         94                   10010100                        20                  
30         9e                   10011110                        30                  
40         a8                   10101000                        40                  
50         b2                   10110010                        50                  
60         bc                   10111100                        60                  
70         c0 06                11000000 00000110               70                  
80         c0 10                11000000 00010000               80                  
90         c0 1a                11000000 00011010               90                  
100        c0 24                11000000 00100100               100                 
110        c0 2e                11000000 00101110               110                 
120        c0 38                11000000 00111000               120                 
130        c0 42                11000000 01000010               130                 
140        c0 4c                11000000 01001100               140                 
150        c0 56                11000000 01010110               150                 
160        c0 60                11000000 01100000               160                 
170        c0 6a                11000000 01101010               170                 
180        c0 74                11000000 01110100               180                 
190        c0 7e                11000000 01111110               190                 
200        c0 88                11000000 10001000               200                 
210        c0 92                11000000 10010010               210                 
220        c0 9c                11000000 10011100               220                 
230        c0 a6                11000000 10100110               230                 
240        c0 b0                11000000 10110000               240                 
250        c0 ba                11000000 10111010               250                 
260        c0 c4                11000000 11000100               260                 
270        c0 ce                11000000 11001110               270                 
280        c0 d8                11000000 11011000               280                 
290        c0 e2                11000000 11100010               290                 
300        c0 ec                11000000 11101100               300                 
310        c0 f6                11000000 11110110               310                 
320        c1 00                11000001 00000000               320                 
330        c1 0a                11000001 00001010               330                 
340        c1 14                11000001 00010100               340                 
350        c1 1e                11000001 00011110               350                 
360        c1 28                11000001 00101000               360                 
370        c1 32                11000001 00110010               370                 
380        c1 3c                11000001 00111100               380                 
390        c1 46                11000001 01000110               390                 
400        c1 50                11000001 01010000               400                 
410        c1 5a                11000001 01011010               410                 
420        c1 64                11000001 01100100               420                 
430        c1 6e                11000001 01101110               430                 
440        c1 78                11000001 01111000               440                 
450        c1 82                11000001 10000010               450                 
460        c1 8c                11000001 10001100               460                 
470        c1 96                11000001 10010110               470                 
480        c1 a0                11000001 10100000               480                 
490        c1 aa                11000001 10101010               490                 
500        c1 b4                11000001 10110100               500                 
510        c1 be                11000001 10111110               510                 
520        c1 c8                11000001 11001000               520                 
530        c1 d2                11000001 11010010               530                 
540        c1 dc                11000001 11011100               540                 
550        c1 e6                11000001 11100110               550                 
560        c1 f0                11000001 11110000               560                 
570        c1 fa                11000001 11111010               570                 
580        c2 04                11000010 00000100               580                 
590        c2 0e                11000010 00001110               590                 
600        c2 18                11000010 00011000               600                 
610        c2 22                11000010 00100010               610                 
620        c2 2c                11000010 00101100               620                 
630        c2 36                11000010 00110110               630                 
640        c2 40                11000010 01000000               640                 
650        c2 4a                11000010 01001010               650                 
660        c2 54                11000010 01010100               660                 
670        c2 5e                11000010 01011110               670                 
680        c2 68                11000010 01101000               680                 
690        c2 72                11000010 01110010               690                 
700        c2 7c                11000010 01111100               700                 
710        c2 86                11000010 10000110               710                 
720        c2 90                11000010 10010000               720                 
730        c2 9a                11000010 10011010               730                 
740        c2 a4                11000010 10100100               740                 
750        c2 ae                11000010 10101110               750                 
760        c2 b8                11000010 10111000               760                 
770        c2 c2                11000010 11000010               770                 
780        c2 cc                11000010 11001100               780                 
790        c2 d6                11000010 11010110               790                 
800        c2 e0                11000010 11100000               800                 
810        c2 ea                11000010 11101010               810                 
820        c2 f4                11000010 11110100               820                 
830        c2 fe                11000010 11111110               830                 
840        c3 08                11000011 00001000               840                 
850        c3 12                11000011 00010010               850                 
860        c3 1c                11000011 00011100               860                 
870        c3 26                11000011 00100110               870                 
880        c3 30                11000011 00110000               880                 
890        c3 3a                11000011 00111010               890                 
900        c3 44                11000011 01000100               900                 
910        c3 4e                11000011 01001110               910                 
920        c3 58                11000011 01011000               920                 
930        c3 62                11000011 01100010               930                 
940        c3 6c                11000011 01101100               940                 
950        c3 76                11000011 01110110               950                 
960        c3 80                11000011 10000000               960                 
970        c3 8a                11000011 10001010               970                 
980        c3 94                11000011 10010100               980                 
990        c3 9e                11000011 10011110               990                 
1000       c3 a8                11000011 10101000               1000                
1010       c3 b2                11000011 10110010               1010                
1020       c3 bc                11000011 10111100               1020                
1030       c3 c6                11000011 11000110               1030                
1040       c3 d0                11000011 11010000               1040                
1050       c3 da                11000011 11011010               1050                
1060       c3 e4                11000011 11100100               1060                
1070       c3 ee                11000011 11101110               1070                
1080       c3 f8                11000011 11111000               1080                
1090       c4 02                11000100 00000010               1090                
1100       c4 0c                11000100 00001100               1100                
1110       c4 16                11000100 00010110               1110                
1120       c4 20                11000100 00100000               1120                
1130       c4 2a                11000100 00101010               1130                
1140       c4 34                11000100 00110100               1140                
1150       c4 3e                11000100 00111110               1150                
1160       c4 48                11000100 01001000               1160                
