
    Unsigned integers (first 300)
Number     Hex                  Bin                             Decoded
0          01                   00000001                        0
1          03                   00000011                        1
2          05                   00000101                        2
3          07                   00000111                        3
4          09                   00001001                        4
5          0b                   00001011                        5
6          0d                   00001101                        6
7          0f                   00001111                        7
8          02                   00000010                        8
9          06                   00000110                        9
10         0a                   00001010                        10
11         0e                   00001110                        11
12         12                   00010010                        12
13         16                   00010110                        13
14         1a                   00011010                        14
15         1e                   00011110                        15
16         22                   00100010                        16
17         26                   00100110                        17
18         2a                   00101010                        18
19         2e                   00101110                        19
20         32                   00110010                        20
21         36                   00110110                        21
22         3a                   00111010                        22
23         3e                   00111110                        23
24         42                   01000010                        24
25         46                   01000110                        25
26         4a                   01001010                        26
27         4e                   01001110                        27
28         52                   01010010                        28
29         56                   01010110                        29
30         5a                   01011010                        30
31         5e                   01011110                        31
32         62                   01100010                        32
33         66                   01100110                        33
34         6a                   01101010                        34
35         6e                   01101110                        35
36         72                   01110010                        36
37         76                   01110110                        37
38         7a                   01111010                        38
39         7e                   01111110                        39
40         82                   10000010                        40
41         86                   10000110                        41
42         8a                   10001010                        42
43         8e                   10001110                        43
44         92                   10010010                        44
45         96                   10010110                        45
46         9a                   10011010                        46
47         9e                   10011110                        47
48         a2                   10100010                        48
49         a6                   10100110                        49
50         aa                   10101010                        50
51         ae                   10101110                        51
52         b2                   10110010                        52
53         b6                   10110110                        53
54         ba                   10111010                        54
55         be                   10111110                        55
56         c2                   11000010                        56
57         c6                   11000110                        57
58         ca                   11001010                        58
59         ce                   11001110                        59
60         d2                   11010010                        60
61         d6                   11010110                        61
62         da                   11011010                        62
63         de                   11011110                        63
64         e2                   11100010                        64
65         e6                   11100110                        65
66         ea                   11101010                        66
67         ee                   11101110                        67
68         f2                   11110010                        68
69         f6                   11110110                        69
70         fa                   11111010                        70
71         fe                   11111110                        71
72         04 00                00000100 00000000               72
73         0c 00                00001100 00000000               73
74         14 00                00010100 00000000               74
75         1c 00                00011100 00000000               75
76         24 00                00100100 00000000               76
77         2c 00                00101100 00000000               77
78         34 00                00110100 00000000               78
79         3c 00                00111100 00000000               79
80         44 00                01000100 00000000               80
81         4c 00                01001100 00000000               81
82         54 00                01010100 00000000               82
83         5c 00                01011100 00000000               83
84         64 00                01100100 00000000               84
85         6c 00                01101100 00000000               85
86         74 00                01110100 00000000               86
87         7c 00                01111100 00000000               87
88         84 00                10000100 00000000               88
89         8c 00                10001100 00000000               89
90         94 00                10010100 00000000               90
91         9c 00                10011100 00000000               91
92         a4 00                10100100 00000000               92
93         ac 00                10101100 00000000               93
94         b4 00                10110100 00000000               94
95         bc 00                10111100 00000000               95
96         c4 00                11000100 00000000               96
97         cc 00                11001100 00000000               97
98         d4 00                11010100 00000000               98
99         dc 00                11011100 00000000               99
100        e4 00                11100100 00000000               100
101        ec 00                11101100 00000000               101
102        f4 00                11110100 00000000               102
103        fc 00                11111100 00000000               103
104        04 01                00000100 00000001               104
105        0c 01                00001100 00000001               105
106        14 01                00010100 00000001               106
107        1c 01                00011100 00000001               107
108        24 01                00100100 00000001               108
109        2c 01                00101100 00000001               109
110        34 01                00110100 00000001               110
111        3c 01                00111100 00000001               111
