
    Unsigned integers
Number     Hex                  Bin                             Decoded Value       
0          00                   00000000                        0                   
10         0a                   00001010                        10                  
20         14                   00010100                        20                  
30         1e                   00011110                        30                  
40         28                   00101000                        40                  
50         32                   00110010                        50                  
60         3c                   00111100                        60                  
70         46                   01000110                        70                  
80         50                   01010000                        80                  
90         5a                   01011010                        90                  
100        64                   01100100                        100                 
110        6e                   01101110                        110                 
120        78                   01111000                        120                 
130        82 00                10000010 00000000               130                 
140        8c 00                10001100 00000000               140                 
150        96 00                10010110 00000000               150                 
160        a0 00                10100000 00000000               160                 
170        aa 00                10101010 00000000               170                 
180        b4 00                10110100 00000000               180                 
190        be 00                10111110 00000000               190                 
200        c8 00                11001000 00000000               200                 
210        d2 00                11010010 00000000               210                 
220        dc 00                11011100 00000000               220                 
230        e6 00                11100110 00000000               230                 
240        f0 00                11110000 00000000               240                 
250        fa 00                11111010 00000000               250                 
260        84 01                10000100 00000001               260                 
270        8e 01                10001110 00000001               270                 
280        98 01                10011000 00000001               280                 
290        a2 01                10100010 00000001               290                 
300        ac 01                10101100 00000001               300                 
310        b6 01                10110110 00000001               310                 
320        c0 01                11000000 00000001               320                 
330        ca 01                11001010 00000001               330                 
340        d4 01                11010100 00000001               340                 
350        de 01                11011110 00000001               350                 
360        e8 01                11101000 00000001               360                 
370        f2 01                11110010 00000001               370                 
380        fc 01                11111100 00000001               380                 
390        86 02                10000110 00000010               390                 
400        90 02                10010000 00000010               400                 
410        9a 02                10011010 00000010               410                 
420        a4 02                10100100 00000010               420                 
430        ae 02                10101110 00000010               430                 
440        b8 02                10111000 00000010               440                 
450        c2 02                11000010 00000010               450                 
460        cc 02                11001100 00000010               460                 
470        d6 02                11010110 00000010               470                 
480        e0 02                11100000 00000010               480                 
490        ea 02                11101010 00000010               490                 
500        f4 02                11110100 00000010               500                 
510        fe 02                11111110 00000010               510                 
520        88 03                10001000 00000011               520                 
530        92 03                10010010 00000011               530                 
540        9c 03                10011100 00000011               540                 
550        a6 03                10100110 00000011               550                 
560        b0 03                10110000 00000011               560                 
570        ba 03                10111010 00000011               570                 
580        c4 03                11000100 00000011               580                 
590        ce 03                11001110 00000011               590                 
600        d8 03                11011000 00000011               600                 
610        e2 03                11100010 00000011               610                 
620        ec 03                11101100 00000011               620                 
630        f6 03                11110110 00000011               630                 
640        80 04                10000000 00000100               640                 
650        8a 04                10001010 00000100               650                 
660        94 04                10010100 00000100               660                 
670        9e 04                10011110 00000100               670                 
680        a8 04                10101000 00000100               680                 
690        b2 04                10110010 00000100               690                 
700        bc 04                10111100 00000100               700                 
710        c6 04                11000110 00000100               710                 
720        d0 04                11010000 00000100               720                 
730        da 04                11011010 00000100               730                 
740        e4 04                11100100 00000100               740                 
750        ee 04                11101110 00000100               750                 
760        f8 04                11111000 00000100               760                 
770        82 05                10000010 00000101               770                 
780        8c 05                10001100 00000101               780                 
790        96 05                10010110 00000101               790                 
800        a0 05                10100000 00000101               800                 
810        aa 05                10101010 00000101               810                 
820        b4 05                10110100 00000101               820                 
830        be 05                10111110 00000101               830                 
840        c8 05                11001000 00000101               840                 
850        d2 05                11010010 00000101               850                 
860        dc 05                11011100 00000101               860                 
870        e6 05                11100110 00000101               870                 
880        f0 05                11110000 00000101               880                 
890        fa 05                11111010 00000101               890                 
900        84 06                10000100 00000110               900                 
910        8e 06                10001110 00000110               910                 
920        98 06                10011000 00000110               920                 
930        a2 06                10100010 00000110               930                 
940        ac 06                10101100 00000110               940                 
950        b6 06                10110110 00000110               950                 
960        c0 06                11000000 00000110               960                 
970        ca 06                11001010 00000110               970                 
980        d4 06                11010100 00000110               980                 
990        de 06                11011110 00000110               990                 
1000       e8 06                11101000 00000110               1000                
1010       f2 06                11110010 00000110               1010                
1020       fc 06                11111100 00000110               1020                
1030       86 07                10000110 00000111               1030                
1040       90 07                10010000 00000111               1040                
1050       9a 07                10011010 00000111               1050                
1060       a4 07                10100100 00000111               1060                
1070       ae 07                10101110 00000111               1070                
1080       b8 07                10111000 00000111               1080                
1090       c2 07                11000010 00000111               1090                
1100       cc 07                11001100 00000111               1100                
1110       d6 07                11010110 00000111               1110                
1120       e0 07                11100000 00000111               1120                
1130       ea 07                11101010 00000111               1130                
1140       f4 07                11110100 00000111               1140                
1150       fe 07                11111110 00000111               1150                
1160       88 08                10001000 00001000               1160                
1170       92 08                10010010 00001000               1170                
1180       9c 08                10011100 00001000               1180                
1190       a6 08                10100110 00001000               1190                
1200       b0 08                10110000 00001000               1200                
1210       ba 08                10111010 00001000               1210                
1220       c4 08                11000100 00001000               1220                
1230       ce 08                11001110 00001000               1230                
1240       d8 08                11011000 00001000               1240                
1250       e2 08                11100010 00001000               1250                
1260       ec 08                11101100 00001000               1260                
1270       f6 08                11110110 00001000               1270                
1280       80 09                10000000 00001001               1280                
1290       8a 09                10001010 00001001               1290                
1300       94 09                10010100 00001001               1300                
1310       9e 09                10011110 00001001               1310                
1320       a8 09                10101000 00001001               1320                
1330       b2 09                10110010 00001001               1330                
1340       bc 09                10111100 00001001               1340                
1350       c6 09                11000110 00001001               1350                
1360       d0 09                11010000 00001001               1360                
1370       da 09                11011010 00001001               1370                
1380       e4 09                11100100 00001001               1380                
1390       ee 09                11101110 00001001               1390                
1400       f8 09                11111000 00001001               1400                
1410       82 0a                10000010 00001010               1410                
1420       8c 0a                10001100 00001010               1420                
1430       96 0a                10010110 00001010               1430                
1440       a0 0a                10100000 00001010               1440                
1450       aa 0a                10101010 00001010               1450                
1460       b4 0a                10110100 00001010               1460                
1470       be 0a                10111110 00001010               1470                
1480       c8 0a                11001000 00001010               1480                
1490       d2 0a                11010010 00001010               1490                
1500       dc 0a                11011100 00001010               1500                
1510       e6 0a                11100110 00001010               1510                
1520       f0 0a                11110000 00001010               1520                
1530       fa 0a                11111010 00001010               1530                
1540       84 0b                10000100 00001011               1540                
1550       8e 0b                10001110 00001011               1550                
1560       98 0b                10011000 00001011               1560                
1570       a2 0b                10100010 00001011               1570                
1580       ac 0b                10101100 00001011               1580                
1590       b6 0b                10110110 00001011               1590                
1600       c0 0b                11000000 00001011               1600                
1610       ca 0b                11001010 00001011               1610                
1620       d4 0b                11010100 00001011               1620                
1630       de 0b                11011110 00001011               1630                
1640       e8 0b                11101000 00001011               1640                
1650       f2 0b                11110010 00001011               1650                
1660       fc 0b                11111100 00001011               1660                
1670       86 0c                10000110 00001100               1670                
1680       90 0c                10010000 00001100               1680                
1690       9a 0c                10011010 00001100               1690                
1700       a4 0c                10100100 00001100               1700                
1710       ae 0c                10101110 00001100               1710                
1720       b8 0c                10111000 00001100               1720                
1730       c2 0c                11000010 00001100               1730                
1740       cc 0c                11001100 00001100               1740                
1750       d6 0c                11010110 00001100               1750                
1760       e0 0c                11100000 00001100               1760                
1770       ea 0c                11101010 00001100               1770                
1780       f4 0c                11110100 00001100               1780                
1790       fe 0c                11111110 00001100               1790                
1800       88 0d                10001000 00001101               1800                
1810       92 0d                10010010 00001101               1810                
1820       9c 0d                10011100 00001101               1820                
1830       a6 0d                10100110 00001101               1830                
1840       b0 0d                10110000 00001101               1840                
1850       ba 0d                10111010 00001101               1850                
1860       c4 0d                11000100 00001101               1860                
1870       ce 0d                11001110 00001101               1870                
1880       d8 0d                11011000 00001101               1880                
1890       e2 0d                11100010 00001101               1890                
1900       ec 0d                11101100 00001101               1900                
1910       f6 0d                11110110 00001101               1910                
1920       80 0e                10000000 00001110               1920                
1930       8a 0e                10001010 00001110               1930                
1940       94 0e                10010100 00001110               1940                
1950       9e 0e                10011110 00001110               1950                
1960       a8 0e                10101000 00001110               1960                
1970       b2 0e                10110010 00001110               1970                
1980       bc 0e                10111100 00001110               1980                
1990       c6 0e                11000110 00001110               1990                
2000       d0 0e                11010000 00001110               2000                
2080       a0 0f                10100000 00001111               2080                
2210       a2 10                10100010 00010000               2210                
2530       e2 12                11100010 00010010               2530                
3280       d0 18                11010000 00011000               3280                
4980       f4 25                11110100 00100101               4980                
8820       f4 43                11110100 01000011               8820                
17360      d0 86 00             11010000 10000110 00000000      17360               
36130      a2 99 01             10100010 10011001 00000001      36130               
77090      a2 d9 03             10100010 11011001 00000011      77090               
165840     d0 8e 09             11010000 10001110 00001001      165840              
356980     f4 e3 14             11110100 11100011 00010100      356980              
766580     f4 e3 2d             11110100 11100011 00101101      766580              
1640400    d0 8e 63             11010000 10001110 01100011      1640400             
3497250    a2 b9 d4 00          10100010 10111001 11010100 00000000  3497250             
7429410    a2 b9 c4 02          10100010 10111001 11000100 00000010  7429410             
15730640   d0 8e bf 06          11010000 10001110 10111111 00000110  15730640            
33206900   f4 e3 e9 0e          11110100 11100011 11101001 00001110  33206900            
69907060   f4 e3 a9 20          11110100 11100011 10101001 00100000  69907060            
146802640  d0 8e ff 44          11010000 10001110 11111111 01000100  146802640           
307584290  a2 b9 d4 91 00       10100010 10111001 11010100 10010001 00000000  307584290           
643128610  a2 b9 d4 b1 01       10100010 10111001 11010100 10110001 00000001  643128610           
1342179280 d0 8e ff fe 03       11010000 10001110 11111111 11111110 00000011  1342179280          
2796204660 f4 e3 a9 b4 09       11110100 11100011 10101001 10110100 00001001  2796204660          
5816103540 f4 e3 a9 d4 14       11110100 11100011 10101001 11010100 00010100  5816103540          
12079597520 d0 8e ff fe 2b       11010000 10001110 11111111 11111110 00101011  12079597520         
25053977890 a2 b9 d4 a9 5c       10100010 10111001 11010100 10101001 01011100  25053977890         
51897523490 a2 b9 d4 a9 c0 00    10100010 10111001 11010100 10101001 11000000 00000000  51897523490         

    Signed integers
Number     Hex                  Bin                  Decoded Value       
-1000      cf 0e                11001111 00001110    -1000               
