
=== Single numbers ===                                                           |  8bit      |  4bit      |  4bit_rle  |  2bit     
------------------------------------------------------------------------------------------------------------------------------------
[0]                                                                              :     1      :     1      :     1      :     1     
[1]                                                                              :     1      :     1      :     1      :     1     
[2]                                                                              :     1      :     1      :     1      :     1     
[3]                                                                              :     1      :     1      :     1      :     1     
[4]                                                                              :     1      :     1      :     1      :     1     
[5]                                                                              :     1      :     1      :     1      :     1     
[6]                                                                              :     1      :     1      :     1      :     1     
[7]                                                                              :     1      :     1      :     1      :     1     
[8]                                                                              :     1      :     1      :     1      :     1     
[9]                                                                              :     1      :     1      :     1      :     1     
[10]                                                                             :     1      :     1      :     1      :     1     
[11]                                                                             :     1      :     1      :     1      :     1     
[12]                                                                             :     1      :     1      :     1      :     1     
[13]                                                                             :     1      :     1      :     1      :     1     
[14]                                                                             :     1      :     1      :     1      :     1     
[15]                                                                             :     1      :     1      :     1      :     1     
[16]                                                                             :     1      :     1      :     1      :     1     
[17]                                                                             :     1      :     1      :     1      :     1     
[18]                                                                             :     1      :     1      :     1      :     1     
[19]                                                                             :     1      :     1      :     1      :     1     
[20]                                                                             :     1      :     1      :     1      :     1     
[21]                                                                             :     1      :     1      :     1      :     1     
[22]                                                                             :     1      :     1      :     1      :     1     
[23]                                                                             :     1      :     1      :     1      :     1     
[24]                                                                             :     1      :     1      :     1      :     1     
[25]                                                                             :     1      :     1      :     1      :     1     
[26]                                                                             :     1      :     1      :     1      :     1     
[27]                                                                             :     1      :     1      :     1      :     1     
[28]                                                                             :     1      :     1      :     1      :     1     
[29]                                                                             :     1      :     1      :     1      :     1     
[30]                                                                             :     1      :     1      :     1      :     1     
[31]                                                                             :     1      :     1      :     1      :     1     
[32]                                                                             :     1      :     1      :     1      :     1     
[33]                                                                             :     1      :     1      :     1      :     1     
[34]                                                                             :     1      :     1      :     1      :     1     
[35]                                                                             :     1      :     1      :     1      :     1     
[36]                                                                             :     1      :     1      :     1      :     1     
[37]                                                                             :     1      :     1      :     1      :     1     
[38]                                                                             :     1      :     1      :     1      :     2     
[39]                                                                             :     1      :     1      :     1      :     2     
[40]                                                                             :     1      :     1      :     1      :     2     
[41]                                                                             :     1      :     1      :     1      :     2     
[42]                                                                             :     1      :     1      :     1      :     2     
[43]                                                                             :     1      :     1      :     1      :     2     
[44]                                                                             :     1      :     1      :     1      :     2     
[45]                                                                             :     1      :     1      :     1      :     2     
[46]                                                                             :     1      :     1      :     1      :     2     
[47]                                                                             :     1      :     1      :     1      :     2     
[48]                                                                             :     1      :     1      :     1      :     2     
[49]                                                                             :     1      :     1      :     1      :     2     
[50]                                                                             :     1      :     1      :     1      :     2     
[51]                                                                             :     1      :     1      :     1      :     2     
[52]                                                                             :     1      :     1      :     1      :     2     
[53]                                                                             :     1      :     1      :     1      :     2     
[54]                                                                             :     1      :     1      :     1      :     2     
[55]                                                                             :     1      :     1      :     1      :     2     
[56]                                                                             :     1      :     1      :     1      :     2     
[57]                                                                             :     1      :     1      :     1      :     2     
[58]                                                                             :     1      :     1      :     1      :     2     
[59]                                                                             :     1      :     1      :     1      :     2     
[60]                                                                             :     1      :     1      :     1      :     2     
[61]                                                                             :     1      :     1      :     1      :     2     
[62]                                                                             :     1      :     1      :     1      :     2     
[63]                                                                             :     1      :     1      :     1      :     2     
[64]                                                                             :     1      :     1      :     1      :     2     
[65]                                                                             :     1      :     1      :     1      :     2     
[66]                                                                             :     1      :     1      :     1      :     2     
[67]                                                                             :     1      :     1      :     1      :     2     
[68]                                                                             :     1      :     1      :     1      :     2     
[69]                                                                             :     1      :     1      :     1      :     2     
[70]                                                                             :     1      :     1      :     1      :     2     
[71]                                                                             :     1      :     1      :     1      :     2     
[72]                                                                             :     1      :     2      :     2      :     2     
[73]                                                                             :     1      :     2      :     2      :     2     
[74]                                                                             :     1      :     2      :     2      :     2     
[75]                                                                             :     1      :     2      :     2      :     2     
[76]                                                                             :     1      :     2      :     2      :     2     
[77]                                                                             :     1      :     2      :     2      :     2     
[78]                                                                             :     1      :     2      :     2      :     2     
[79]                                                                             :     1      :     2      :     2      :     2     
[80]                                                                             :     1      :     2      :     2      :     2     
[81]                                                                             :     1      :     2      :     2      :     2     
[82]                                                                             :     1      :     2      :     2      :     2     
[83]                                                                             :     1      :     2      :     2      :     2     
[84]                                                                             :     1      :     2      :     2      :     2     
[85]                                                                             :     1      :     2      :     2      :     2     
[86]                                                                             :     1      :     2      :     2      :     2     
[87]                                                                             :     1      :     2      :     2      :     2     
[88]                                                                             :     1      :     2      :     2      :     2     
[89]                                                                             :     1      :     2      :     2      :     2     
[90]                                                                             :     1      :     2      :     2      :     2     
[91]                                                                             :     1      :     2      :     2      :     2     
[92]                                                                             :     1      :     2      :     2      :     2     
[93]                                                                             :     1      :     2      :     2      :     2     
[94]                                                                             :     1      :     2      :     2      :     2     
[95]                                                                             :     1      :     2      :     2      :     2     
[96]                                                                             :     1      :     2      :     2      :     2     
[97]                                                                             :     1      :     2      :     2      :     2     
[98]                                                                             :     1      :     2      :     2      :     2     
[99]                                                                             :     1      :     2      :     2      :     2     
[100]                                                                            :     1      :     2      :     2      :     2     
[101]                                                                            :     1      :     2      :     2      :     2     
[102]                                                                            :     1      :     2      :     2      :     2     
